"","x"
"14612","PRETTY HANDSOME OPTOMETRY, PLLC"
"14613","PRETTY PADDED ROOM"
"14614","PREVENTIVE IDTF INC."
"14615","PRIA ALPERN PHD PSYCHOLOGIST PLLC"
"14616","PRIDE MEDICAL, PLLC"
"14617","PRIDE OPTICAL"
"14618","PRIMACARE MEDICAL ASSOCIATES PLLC"
"14619","PRIMARY AUDIOLOGICAL SERVICES P.C."
"14620","PRIMARY CARDIOLOGY PC"
"14621","PRIMARY CARE AMBULANCE CORP"
"14622","PRIMARY CARE HEALTH SERVICE"
"14623","PRIMARY CARE NP IN FAMILY HEALTH AND ADULT HEALTH OF NEW YORK PLLC"
"14624","PRIMARY DIAGNOSTIC IMAGING PC"
"14625","PRIMARY EYE CARE OPTOMETRY, LLP"
"14626","PRIMARY GLASSES"
"14627","PRIMARY STEPS PHYSICAL THERAPY LLC"
"14628","PRIMAX MEDICAL PC"
"14629","PRIME AID PHARMACY CORP."
"14630","PRIME CARE DRUG & SURGICALS CORP"
"14631","PRIME CARE MEDICAL OF BRIGHTON PC"
"14632","PRIME CARE ON THE BAY LLC"
"14633","PRIME CARE, INC."
"14634","PRIME DENTAL CARE PC"
"14635","PRIME ESSENTIALS LLC"
"14636","PRIME FITNESS PHYSICAL THERAPY PC"
"14637","PRIME HEALTH PHARMACY LLC"
"14638","PRIME HEALTH PHYSICAL THERAPY AND REHABILITATION P. C."
"14639","PRIME INDEPENDENCE CARE INC"
"14640","PRIME LCSW SERVICES PC"
"14641","PRIME MEDCARE"
"14642","PRIME MEDICAL SERVICES PC"
"14643","PRIME MEDICAL SUPPLY"
"14644","PRIME MEDICAL SUPPLY CORP"
"14645","PRIME MOVERS PHYSICAL THERAPY, PLLC"
"14646","PRIME PHYSIQUE PHYSICAL THERAPY"
"14647","PRIME PSI INC"
"14648","PRIME QUALITY MEDICAL CARE PC"
"14649","PRIME REHAB PT, PLLC"
"14650","PRIME SURGICAL SUPPLY INC"
"14651","PRIMECARE MEDICAL SERVICE PC"
"14652","PRIMITIS MOBILE EXAMINERS"
"14653","PRINCE BAY PHARMACY"
"14654","PRINCE REHAB CARE PT PC"
"14655","PRIORITY MEDICAL CARE"
"14656","PRIORITY MEDICAL SUPPLY, INCORPORATED"
"14657","PRIORITY ONE AMBULANCE INC."
"14658","PRIORITY PRIVATE MEDICAL CARE, PC"
"14659","PRISCILLAS ANGELS NURSING AGENCY LLC"
"14660","PRISCO CHIROPRACTIC AND WELLNESS"
"14661","PRISM DENTAL PC"
"14662","PRISTINE MEDICAL CARE PLLC"
"14663","PRITPAL S KANG P C"
"14664","PRIVATE ESCORT SERVICE INC."
"14665","PRN PC"
"14666","PRN PROFESSIONAL REGISTERED NURSING P.C."
"14667","PRO LIFE APOTHECARY CORP"
"14668","PRO RX INC"
"14669","PRO ULTRASOUND SERVICE"
"14670","PRO WELLNESS PHYSICAL THERAPY P.C."
"14671","PRO-HEALTH MEDICAL REHAB"
"14672","PRO-MEDICAL NEW YORK PLLC"
"14673","PROACTIVE OCCUPATIONAL THERAPY PC"
"14674","PROACTIVE OT/PT THERAPY PLLC"
"14675","PROCARE CLINICAL SERVICE"
"14676","PROCARE WELLNESS CENTER LLC"
"14677","PRODIGY OF NEW YORK, INC."
"14678","PRODUCTIVITY ENHANCEMENT MINISTRIES, INC."
"14679","PROFESSIONAL CAR SERVICE"
"14680","PROFESSIONAL CARE PHYSICAL THERAPY PC"
"14681","PROFESSIONAL CLINICAL LABORATORIES"
"14682","PROFESSIONAL COUNSELING SERVICES LCSW PLLC"
"14683","PROFESSIONAL DENTAL OFFICE PC"
"14684","PROFESSIONAL DENTAL OFFICE PC."
"14685","PROFESSIONAL DENTAL SERVICE"
"14686","PROFESSIONAL EDUCATIONAL CONSULTING BY REBECCA LLC"
"14687","PROFESSIONAL GYNECOLOGICAL SERVICES, PC"
"14688","PROFESSIONAL HEALTH IMAGING,P.C."
"14689","PROFESSIONAL MEDICAL ARTS, P.C."
"14690","PROFESSIONAL MEDICAL HEALTH CARE SERVICES PC"
"14691","PROFESSIONAL MEDICAL HEALTHCARE P.C."
"14692","PROFESSIONAL MEDICAL HEALTHCARE SERVICE OF NEW YORK"
"14693","PROFESSIONAL MEDICAL HEALTHCARE SERVICE OF NEW YORK, PC"
"14694","PROFESSIONAL MEDICAL HEALTHCARE SERVICES OF NEW YORK"
"14695","PROFESSIONAL ORTHOPEDIC & SPORTS PT"
"14696","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY"
"14697","PROFESSIONAL PHYSICAL THERAPY P.C."
"14698","PROFESSIONAL RADIOLOGY SERVICES, P.C."
"14699","PROFESSIONAL REHAB PHYSICAL THERAPY P.C."
"14700","PROFESSIONAL TOUCH PHYSICAL THERAPY PC"
"14701","PROFFESIONAL ANESTHESIA PHYSICIAN, P.C."
"14702","PROFFESSIONAL HEALTHCARE& CHIROPRACTIC SERVICES PC"
"14703","PROFITNESS PHYSICAL THERAPY"
"14704","PROFITNESS PHYSICAL THERAPY PC"
"14705","PROGRESSIVE APPLIED BEHAVIORAL TREATMENT"
"14706","PROGRESSIVE COMMUNITY ADULT DAY CARE SERVICES, INC."
"14707","PROGRESSIVE DIAGNOSTIC MEDICAL,PC"
"14708","PROGRESSIVE DYNAMIC DESIGNS, INC."
"14709","PROGRESSIVE FOOT CARE ASSOCIATES"
"14710","PROGRESSIVE FOOT CARE, PC"
"14711","PROGRESSIVE GASTROENTEROLOGY LLC"
"14712","PROGRESSIVE HEMATOLOGY AND ONCOLOGY PLLC"
"14713","PROGRESSIVE HOME HEALTH SERVICES, INC."
"14714","PROGRESSIVE MEDICAL ASSOCIATES"
"14715","PROGRESSIVE MEDICAL ASSOCIATES, P.C"
"14716","PROGRESSIVE MEDICAL SOLUTIONS PC"
"14717","PROGRESSIVE MOVEMENT PHYSICAL THERAPY AND SPORTS REHAB PLLC"
"14718","PROGRESSIVE OCCUPATIONAL THERAPY PC"
"14719","PROGRESSIVE ORTHOPEDIC PLLC"
"14720","PROGRESSIVE PODIATRY AND FOOT SURGERY"
"14721","PROGRESSIVE THERAPEUTICS OT, SLP, PT, PLLC"
"14722","PROHEALTH & FITNESS PT PC"
"14723","PROHEALTH & FITNESS, PT PC"
"14724","PROHEALTH HOMECARE, INC."
"14725","PROHEALTH PHARMACY INC"
"14726","PROHEALTHLIFE MEDICAL PLLC"
"14727","PROJECT HOSPITALITY, INC."
"14728","PROJECT OHR, INC."
"14729","PROJECT RENEWAL"
"14730","PROJECT RENEWAL INC SCM"
"14731","PROJECT SAMARITAN AIDS SERVICES"
"14732","PROJECT SOCIAL CARE/MB INC."
"14733","PROJECT TEAL"
"14734","PROKINETICS PHYSICAL THERAPY P.C."
"14735","PROLIFIC CARE HEALTH ENTERPRISES LLC"
"14736","PROMED"
"14737","PROMED MEDICAL SUPPLY INC."
"14738","PROMEDA MEDICAL AND DIAGNOSTICS, P.C."
"14739","PROMESA ADULT DAY HEALTH CARE"
"14740","PROMESA RESIDENTIAL HEALTH CARE FACILITY, INC."
"14741","PROMETHEUS IMAGING LLC"
"14742","PROMINENCE MEDICAL SUPPLIES LLC"
"14743","PROMINIS MEDICAL SERVICES PC"
"14744","PROMISA PHARMACY INC."
"14745","PROMISE CARE NJ LLC"
"14746","PROMISE HOME CARE AGENCY INC."
"14747","PROMISE HOME CARE AGENCY, INC"
"14748","PROMOBILITY PHYSICAL THERAPY, P.C."
"14749","PROMPT CARE INC"
"14750","PROMPT MEDICAL CARE OF NY PC"
"14751","PROMPT URGENT CARE,PLLC"
"14752","PROMPTA CARE CORPS"
"14753","PRONET PHYSICAL THERAPY PC"
"14754","PROS903"
"14755","PROSCRIPT PHARMACY LLC."
"14756","PROSPECT AVE. PHARMACY INC."
"14757","PROSPECT GARDENS PHARMACY INC."
"14758","PROSPECT HEALTH PHARMACY"
"14759","PROSPECT LEFFERTS GARDENS MEDICAL PC"
"14760","PROSPECT MEDICAL CARE OF NEW YORK, P.C."
"14761","PROSPECT MEDICAL CARE PC"
"14762","PROSPECT MEDICAL IMAGING P.C."
"14763","PROSPECT PARK MEDICAL PLAZA PC"
"14764","PROSPECT PARK NURSING HOME"
"14765","PROSPECT PARK OPERATING, LLC"
"14766","PROSPER PEDIATRICS"
"14767","PROSTHETIC PROFESSIONALS, INC."
"14768","PROSTHETICS IN MOTION, INC"
"14769","PROTECH DME INC"
"14770","PROTECTION PHYSICAL THERAPY PC"
"14771","PROTESTANT BOARD OF GUARDIANS INC"
"14772","PROTHERAPY REHABILITATION OT, PT, SLP, PLLC"
"14773","PROUD MOMENTS OT THERAPY PLLC"
"14774","PROUD MOMENTS THERAPY PLLC"
"14775","PROVEN CARE LLC"
"14776","PROVIDENCE CARE INC"
"14777","PROVIDENCE HOUSE"
"14778","PROVIDENT PHARMA LLC"
"14779","PROVIDER MEDICAL CARE PC"
"14780","PROVIDER REHAB, OT. P.C."
"14781","PROXI MEDICAL PC"
"14782","PRR DIAGNOSTIC MEDICINE PC"
"14783","PRS ENDOSCOPY ASSOCIATES LLC"
"14784","PRUDENT HOME HEALTH CARE SERVICES INC."
"14785","PRUDENT PT PC"
"14786","PRXP OF NEW YORK LLC"
"14787","PS OCCUPATIONAL THERAPY PC"
"14788","PS PLASTIC SURGERY, PC"
"14789","PSCH"
"14790","PSK RX INC"
"14791","PSO NY INC"
"14792","PSOAS MASSAGE THERAPY OFFICES, P.C."
"14793","PSYCHIATRIC NURSE PRACTITIONER THERAPEUTIC PRACTICE OF NEW YORK, PLLC"
"14794","PSYCHIATRIC UNIT"
"14795","PSYCHIATRY AND PSYCHOTHERAPY PRACTICE P.C."
"14796","PSYCHOANALYTIC TRAINING INSTITUTE OF THE CONTEMPORARY FREUDIAN SOCIETY"
"14797","PSYCHOLOGICAL ASSESSMENTS & SOLUTIONS, PC"
"14798","PSYCHOLOGICAL HEALTH CARE OF NY"
"14799","PSYCHOLOGICAL HEALTH SERVICES P.C."
"14800","PSYCHOLOGICAL MOTIVATION AND CHANGE GROUP"
"14801","PSYCHOLOGICAL SERVICES FOR MULTICULTURAL THERAPY, P.C."
"14802","PSYCHOLOGICAL STRESS MANAGEMENT SERVICES PC"
"14803","PSYCHOLOGY YME PC"
"14804","PSYCHOTHERAPY & SPIRITUALITY INSTITUTE"
"14805","PSYCHOTHERAPY AND QUALITY ASSURANCE SERVICES"
"14806","PSYCHOTHERAPY COUNSELING AND HOME CARE OF GREATER NEW YORK INC."
"14807","PSYCHOTHERAPY PRACTICE"
"14808","PSYCHOTHERAPY PRIVATE PRACTICE"
"14809","PT HEALTH FIRST P.T PC"
"14810","PT ON PARK PLLC"
"14811","PT PLUS, PC"
"14812","PT SKILLED CARE"
"14813","PUERO RICAN FAMILY ICF # 3"
"14814","PUERTO RICAN FAMILY ICF #2"
"14815","PUERTO RICAN FAMILY INSTITUTE, INC"
"14816","PUERTO RICAN FAMILY LACONIA"
"14817","PUERTO RICAN HOME ATTENDANTS SERVICES, INC"
"14818","PUERTO RICAN ORGANIZATION TO MOTIVATE ENLIGHTEN AND SERVE ADDICTS"
"14819","PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN AND SERVE ADDICTS, IN"
"14820","PUGSLEY DENTAL P.C."
"14821","PUI-CHING MAK, NURSE PRACTITIONER IN GERONTOLOGY, PLLC"
"14822","PULMONARY AND SLEEP DISORDERS OF NEW YORK, P.C."
"14823","PULMONARY AND SLEEP MEDICAL PC"
"14824","PULMONARY CRITICAL CARE GROUP, LLP"
"14825","PULMONARY MEDICINE, PC"
"14826","PULMONARY SOLUTIONS PC"
"14827","PULMONARY WELLNESS REHABILITATION PTPC"
"14828","PULSE NYC PHYSICAL THERAPY, P.C."
"14829","PULSE PHARMACY INC"
"14830","PUMPRO MEDICAL SUPPLIES LLC"
"14831","PURE DENTAL CARE, P. C."
"14832","PURE LANGUAGE LLC"
"14833","PURE OBGYN SURGERY PC"
"14834","PURE SPEECH INC"
"14835","PURE VISION OPTIX LLC"
"14836","PURNA ATLURI, M.D., PLLC"
"14837","PUROW MD SHAPS MD PC"
"14838","PURPOSE DRIVEN PHYSICAL THERAPY LLC"
"14839","PURPOSE DRIVEN THERAPEUTIC SERVICES LCSW, PLLC"
"14840","PURPOSEFUL LIVING MENTAL HEALTH COUNSELING, PLLC"
"14841","PURPURA MD LAZZARA DO & SGARLATO MD PC"
"14842","PUSHPA CHAUHAN D.P.M."
"14843","PUTNAM CHIROPRACTIC, P.C."
"14844","PVN MEDICAL DIAGNOSTIC PC"
"14845","PVR DRUGS INC"
"14846","PWN"
"14847","PWN HEALTH, LLC"
"14848","PYRAMID DEVELOPMENT GROUP INC"
"14849","PYRAMID MEDICAL ASSOCIATES, P.C."
"14850","PYRAMIDS HEALTH LLC"
"14851","PYRAMIDS PHARMACY INC"
"14852","PYRAMIDS PT PLLC"
"14853","PYRAMIDS RX INC"
"14854","Q A MEDICAL PC"
"14855","Q DENTAL PC"
"14856","QASIM PHARMACY INC"
"14857","QC ACUPUNCTURE PC"
"14858","QEF'S MAGIC LLC"
"14859","QIN MEDICAL PC"
"14860","QNS CORP"
"14861","QSAC"
"14862","QSAC, INC."
"14863","QUALIA MADISON CHIROPRACTIC PC"
"14864","QUALITY CARE PHYSICAL THERAPY AND ACUPUNCTURE PLLC"
"14865","QUALITY CARE PHYSICAL THERAPY REHAB PC"
"14866","QUALITY CARE PODIATRY"
"14867","QUALITY CARE SPEECH CENTER"
"14868","QUALITY DIAGNOSTIC IMAGING PC"
"14869","QUALITY DIAGNOSTIC, INC"
"14870","QUALITY DRUGS INC"
"14871","QUALITY FAMILY CARE, LLC"
"14872","QUALITY FIRST MEDICAL CARE PLLC"
"14873","QUALITY HEALTH CENTER"
"14874","QUALITY HEALTHCARE MANAGEMENT,INC."
"14875","QUALITY I REHAB PT PC"
"14876","QUALITY OF LIFE MEDICAL MANANGEMENT INC"
"14877","QUALITY OF LIFE MEDICAL PC"
"14878","QUALITY PEDIATRICS PC"
"14879","QUALITY PHYSICAL THERAPY PC"
"14880","QUALITY REHAB AND PT PC"
"14881","QUALITY REHAB MEDICAL PLLC"
"14882","QUALITY REHAB P.T.NY P.C"
"14883","QUALITY SERVICE MEDICAL TRANSPORTATION LLC"
"14884","QUALITY TIME PARENT CARE INC."
"14885","QUALITY TOUCH, INC."
"14886","QUALITYHEALTHCARE, INC."
"14887","QUALMED SLEEP DIAGNOSTICS LLC"
"14888","QUANTIPATH, INC"
"14889","QUARRY ROAD EMERGENCY SERVICES P.C."
"14890","QUARRY ROAD PATHOLOGY SERVICES PC"
"14891","QUARTET HEALTH, INC"
"14892","QUAUTUM LLC"
"14893","QUEENED DRUGS INC"
"14894","QUEENS CORPORATE FOOT CARE, P.C."
"14895","QUEENS HEALTH CENTER"
"14896","QUEENS HOMECARE AGENCY"
"14897","QUEENS LONG ISLAND MEDICAL GROUP, P.C."
"14898","QUEENS OPTOMETRIC CARE PLLC"
"14899","QUEENS PHARMACY CORP"
"14900","QUEENS REPLACEMENT LLC"
"14901","QUEENS VILLAGE DENTAL ASSOCIATES PC"
"14902","QUENTIN MEDICAL LAB"
"14903","QUENTIN MEDICAL PC"
"14904","QUENTIN MEDICAL, P.C"
"14905","QUENTIN ROAD PHARMACY INC"
"14906","QUENTIN SMILE DENTAL SERVICES P.C."
"14907","QUEST DIAGNOSTICS"
"14908","QUEST PHARMACY CORP."
"14909","QUICK CARE MEDICAL 860 PLLC"
"14910","QUICK DRUGS INC"
"14911","QUICK STOP PHARMACY, INC"
"14912","QUICK STRIDES CORP"
"14913","QUICK SUCCESS PHARMACY INC"
"14914","QUICKAID PHARMACY, INC."
"14915","QUICKMED MEDICAL P.C"
"14916","QUICKMED MEDICAL P.C."
"14917","QUICKRX LTC PHARMA INC"
"14918","QUIPP, P.C."
"14919","QURBAN DIAGNOSTIC LAB"
"14920","R & A PHARMACY INC."
"14921","R & B CAR AND LIMO CORP"
"14922","R & D OPTICAL INC."
"14923","R & S PIONEER PHARMACY INC."
"14924","R & T PHARMACY CORP"
"14925","R AND M TRANSCARE INC."
"14926","R B JETTER ,MD, PC"
"14927","R CHRISTINE MELTON MD PC"
"14928","R G DENTAL OFFICE P.C."
"14929","R G DRUG CORP"
"14930","R GUILLEN MD PC"
"14931","R J MASCITELLI MD PC"
"14932","R JOUDEH MEDICAL PAVILION, PLLC"
"14933","R K MEDICAL CARE P C"
"14934","R MOSTAFAVI MD OPHTHAMOLOGIST PC"
"14935","R REDDI MUTTANA MD PC"
"14936","R RUBIN A LAZAR MD PC"
"14937","R ZAKARIA PHYSICIAN PLLC"
"14938","R. LONG COUNSELING & CONSULTING"
"14939","R. VINELLE PODIATRY PLLC"
"14940","R.A.F. MEDICAL PC"
"14941","R.A.I.N. HOME ATTENDANT SERVICES, INC."
"14942","R.A.S COUNSELING SERVICES,CORP."
"14943","R.L. DENTAL SERVICES, P.C."
"14944","R.W. URBANEK, M.D.,P.C."
"14945","R&G DAY CARE LLC"
"14946","R&G PHARMACY INC."
"14947","R&J DENTAL P.C."
"14948","R&L SURGICAL TECHNICIAN SERVICES"
"14949","R&M GLOBAL MEDICAL SUPPLIES, LLC"
"14950","R&N ANESTHESIA PLLC"
"14951","R&R CARING FOR EARLY LEARNERS LLC"
"14952","R&R DRUGS INC."
"14953","R&R MENTAL HEALTH COUNSELING"
"14954","R&R SAKS PHARMACY CORP"
"14955","R&R SPEECH AND LANGUAGE SERVICES, PC"
"14956","R&T PHARMACY CORP."
"14957","RABINOWITZ PHARMACY INC"
"14958","RABINOWITZ PHARMACY INC."
"14959","RACHAEL TIMBERLAKE"
"14960","RACHEL AKIN"
"14961","RACHEL FELDMAN PHD PSYCHOLOGIST PLLC"
"14962","RACHEL FISCH-KAPLAN, MS CCC-SLP, PC"
"14963","RACHEL MCDAVID & ASSOCIATES, MARRIAGE AND FAMILY THERAPY, PC"
"14964","RACHEL OT PC"
"14965","RADIANT SKIN DERMATOLOGY AND LASER,PLLC"
"14966","RADIATION ONCOLOGY MEDICAL PRACTICE OF ST. VINCENTS, PC"
"14967","RADIATION THERAPISTS ASSOCIATES, P.C."
"14968","RADIN DRUGS INC"
"14969","RADIOLOGY ASSOCIATES OF BROOKLYN, LLP"
"14970","RADIOLOGY IMAGING CONSULTANTS PC"
"14971","RADIOLOGY MEDICAL ASSOCIATES PC"
"14972","RADIOLOGY SERVICES OF NEW YORK PC"
"14973","RADJABI MEDICAL PC"
"14974","RADOSLAV JOVANOVIC, MD LLC"
"14975","RADUGA, INC."
"14976","RADWA PHYSICAL THERAPY PC"
"14977","RAELEEN CAR CORP"
"14978","RAFIEH PHARMACY INC"
"14979","RAGAB INC"
"14980","RAGHAVA RAO POLAVARAPU,MDPC"
"14981","RAHAV WELLNESS LLC"
"14982","RAHIMU PHARMACY"
"14983","RAHWAY GERIATRICS CENTER, INC."
"14984","RAHWAY HEALTHCARE LLC"
"14985","RAICES HOMECARE, INC."
"14986","RAINBOW AMBULETTE SERVICE INC"
"14987","RAINBOW KIDS INC."
"14988","RAINBOW MEDICAL PC"
"14989","RAINBOW PHARMACY"
"14990","RAINBOW RADIO DISPATCH INC."
"14991","RAINBOW SUPPLY MEDICAL"
"14992","RAINBOW SUPPLY, INC."
"14993","RAINBOW TOTS LLC"
"14994","RAINE PHYSICAL THERAPY, PLLC"
"14995","RAINER N MITTL OPHTHALMOLOGIST PC"
"14996","RAJENDRA MARK RAMPERSAUD MD PLLC"
"14997","RAJENDRA PRADHAN, M. D. P.C."
"14998","RAJESH BHATNAGAR PHYSICIAN PC"
"14999","RAJIV UPPAL MD"
"15000","RAKOWER JARRETT & SHEINKOPF DDS PC"
"15001","RALPH BENZAKEIN DPM PC"
"15002","RALPH DRUGS INC."
"15003","RALPH H CAPALBO PC"
"15004","RALPH K. JACKSON, M.D., P.C."
"15005","RALPH K. MESSO JR., D.O., P.C."
"15006","RALPH L GENTILE M D PROF CORP"
"15007","RALPH LAUREN CENTER FOR CANCER CARE & PREVENTION"
"15008","RALPH PLACE PHARMACY INC"
"15009","RALPH S BLUME MD PC"
"15010","RAM DRUGS INC"
"15011","RAM PHARMACY INC."
"15012","RAMEZ SULAIMAN MEDICAL PRACTICE PLLC"
"15013","RAMIN AHMADI, MD, PC"
"15014","RAMIN ZAGHI"
"15015","RAMINFAR PSYCHOLOGY PLLC"
"15016","RAMIRO CADAG, M.D., P.C."
"15017","RAMON A MOQUETE, MD PC"
"15018","RAMON ABREU"
"15019","RAMON DELMONTE, MD, P.C."
"15020","RAMON M CABANAS MD PC"
"15021","RAMON M. TALLAJ, M.D."
"15022","RAMON MANON-ESPAILLAT MD PC"
"15023","RAMON VALLARINO MD PC"
"15024","RAMON VALLARINO, M.D., P.C."
"15025","RAMPIM MEDICAL CARE OF THE BRONX PC"
"15026","RAMPS/LIFTS FOR BETTER LIVING INC."
"15027","RANAWAT ORTHOPAEDICS PLLC"
"15028","RANDALL PHARMACY INC"
"15029","RANDY L. LEVINE, M.D., P.C."
"15030","RANDY ZULTOWSKY DDS, P.C."
"15031","RANI MEDICAL, PC"
"15032","RAPHAEL DRUG & HEALTH LTD"
"15033","RAPHAEL J. OSHEROFF, M.D.' F.A.C.P., P.C."
"15034","RAPHAEL M KLAPPER, MD, PC"
"15035","RAPID EMS LLC"
"15036","RAPID MEDICAL CARE"
"15037","RAPID MEDICINE, PLLC"
"15038","RAPPAPORT SPEECH & LANGUAGE SERVICES, P.C."
"15039","RASIK L PATEL MDPC"
"15040","RAUFA G FAROQUI MD PC"
"15041","RAUL P. SALA, MD, PC"
"15042","RAVI C MADDALI, DDS, PC"
"15043","RAVI PHYSICIAN PC"
"15044","RAVICH MEDICAL SERVICES PC"
"15045","RAWYA BASKHAROUN"
"15046","RAY MERCADO DO PC"
"15047","RAYMOND A RIZZUTI M.D.P.C."
"15048","RAYMOND CAVALIERE"
"15049","RAYMOND F WONG M D P C"
"15050","RAYMOND FONG M.D., P.C."
"15051","RAYMOND FONG MD, PC"
"15052","RAYMOND H. COLL, M.D., P.C."
"15053","RAYMOND J. NISI,MD,PC"
"15054","RAYMOND L YUNG MD PC"
"15055","RAYMOND RAAD MD PC"
"15056","RAYMOND ZAKHARI THE ADULT HEALTH NURSE PRACTITIONER OF NEW YORK"
"15057","RAYMOND. A. ALEXANDER, PT., PC"
"15058","RAYS PHARMACY INC"
"15059","RAYSOL DRUGS INC"
"15060","RB FOODTOWN PHARMACY INC"
"15061","RB WILLIAMSON INC.,"
"15062","RBFD DRUG INC"
"15063","RBS GROUP INC."
"15064","RC DENTAL PC"
"15065","RCJ SERVICES, INC"
"15066","RCM TECHNOLOGIES"
"15067","RCM TECHNOLOGIES USA, INC."
"15068","RDB MEDICAL PC"
"15069","RDS MEDICAL P.C."
"15070","REACHING BEYOND THE STARS , LLC"
"15071","REACHING EARLY MILESTONES"
"15072","REACHING HIGHER, INC"
"15073","REACHING POTENTIALS, LLC"
"15074","READY CARE PC"
"15075","READY MEDICAL SERVE, PC"
"15076","REAF INTERNATIONAL CORP."
"15077","REAGEN MEDICAL, PC"
"15078","REAL CARE INC"
"15079","REAL CARE MEDICAL & SURGICAL SUPPLIES"
"15080","REAL CARE,INC"
"15081","REAL MANAGEMENT SOLUTIONS LLC"
"15082","REAL MEDICAL CARE PC"
"15083","REAL MEDICAL CARE PLLC"
"15084","REAL MEDICINE, P.C."
"15085","REALIZATION CENTER, INC."
"15086","REBECCA BLOCK PHD PSYCHOLOGIST PLLC"
"15087","REBECCA J. KURTH, MD, FACP, PC"
"15088","REBECCA KENNEDY, PH.D. PSYCHOLOGY PLLC"
"15089","REBECCA KLEINERMAN, M.D., P.L.L.C."
"15090","REBECCA NACHAMIE MD LLC"
"15091","REBORN FOR NEW LIFE LLC"
"15092","REBOUND NEW YORK MEDICAL, PC"
"15093","REBOUND PHYSICAL THERAPY AND REHABILITATION SERVICES PC"
"15094","RECHEV CAR SERVICE"
"15095","RECHEV OF BROOKLYN, INC."
"15096","RECOMBINE"
"15097","RECONDITE ASSISTANCE CORP."
"15098","RECONSTRUCTIVE SURGERY OFFICES, P.C."
"15099","RECOVER-CARE BALDWIN CITY LLC"
"15100","RECOVER-CARE HIGHLAND LLC"
"15101","RECOVER-CARE LOUISBURG LLC"
"15102","RECOVER-CARE RICHMOND LLC"
"15103","RECOVER-CARE ROSSVILLE LLC"
"15104","RECOVER-CARE SHAWNEE LLC"
"15105","RECOVER-CARE WATHENA LLC"
"15106","RECOVER-CARE WICHITA LLC"
"15107","RECOVERY COACHING SERVICE OF NEW YORK, LLC"
"15108","RECOVERY HAND THERAPY"
"15109","RECOVERY IN MOTION PHYSICAL THERAPY, PLLC"
"15110","RED APPLE SOCIAL DAY CARE"
"15111","RED CORE PTPTA AND REHABILITATION PLLC"
"15112","RED HOOK PHARMACY"
"15113","REDCORE PHYSICAL THERAPY AND REHABILITATION LLC"
"15114","REDEEMER PRESBYTERIAN CHURCH"
"15115","REDISCOVERKIDS OT, PLLC"
"15116","REFRESH BODY INC"
"15117","REFUA SHLEMA MEDICAL PC"
"15118","REFUAH FAMILY DENTAL P.C"
"15119","REFUAH INC"
"15120","REFUAH PHYSICAL THERAPY, PC"
"15121","REGAL DIAGNOSTICS LLC"
"15122","REGAL NURSING AND REHABILITATION CENTER, LLC"
"15123","REGAL PHARMACY CORP"
"15124","REGAL REMEDIES RX INC"
"15125","REGAL SHOES INC."
"15126","REGEIS CARE CENTER"
"15127","REGEN MEDICAL PC"
"15128","REGEN MEDICAL, PC"
"15129","REGEN PHYSICIAN GROUP, PLLC"
"15130","REGENCY DRUGS INC"
"15131","REGENCY HEALTH CARE, INC"
"15132","REGENCY MRI, P.C."
"15133","REGENCY OF BORO PARK"
"15134","REGENCY SURGICAL, PLLC"
"15135","REGINA CATERERS, INC."
"15136","REGINA MANAGEMENT CO. INC."
"15137","REGINA SOTNIK MEDICAL, P.C."
"15138","REGINA'S SPEECH LANGUAGE PATHOLOGY"
"15139","REGINE MEDICAL PLLC"
"15140","REGIONAL AID FOR INTERIM NEEDS, INC"
"15141","REGIONAL IMAGING & THERAPEUTIC RADIOLOGY SERVICES PC"
"15142","REGIONAL NEUROLOGICAL ASSOCIATES, PC"
"15143","REGIONAL PHYSICIAN SERVICES, CT, P.C"
"15144","REGIONAL PHYSICIAN SERVICES, PC"
"15145","REGISTERED NURSE"
"15146","REGO MEDICAL P.C."
"15147","REHAB 360 PHYSICAL THERAPY AND OCCUPATIONAL THERAPY PLLC"
"15148","REHAB 4 SHABAB PTPC"
"15149","REHAB AND RELAXATION INC"
"15150","REHAB ART PT PC"
"15151","REHAB CARE PROFESSIONALS"
"15152","REHAB HAVEN OCCUPATIONAL THERAPY PC"
"15153","REHAB ISLAND PHYSICAL THERAPY"
"15154","REHAB ON WHEELS OT PT PLLC"
"15155","REHAB ONE PC"
"15156","REHAB ONE PHYSICAL THERAPY P.C."
"15157","REHAB ONE PHYSICAL THERAPY, P.C."
"15158","REHAB ONE PHYSICAL THERAPY, PC"
"15159","REHAB R US PT PC"
"15160","REHAB WORLD PHYSICAL THERAPY PLLC"
"15161","REHAB2GO INC"
"15162","REHABILITATION"
"15163","REHABILITATION AND PHYSICAL THERAPY CONSULTANT PC"
"15164","REHABILITATION ASSOCIATE PT PC"
"15165","REHABILITATION ASSOCIATES PT AND OT, PLLC"
"15166","REHABILITATION EQUIPMENT, INC"
"15167","REHABILITATION MANAGEMENT SERVICES"
"15168","REHABILITATION MEDICINE AND SPORTS SERVICES, PC"
"15169","REHABILITATION MEDICINE ASSOCIATES"
"15170","REHABILITATION MEDICINE OF NY PC"
"15171","REHABILITATION MEDICINE PRACTICE OF NEW YORK, PLLC"
"15172","REHABILITATION MEDICINE SPECIALIST, PC"
