"","before","after"
"14434","PINNACLE DENTAL CARE P.C.","PINNACLE DENTAL CARE P.C."
"14435","PINNACLE MEDICAL GROUP","PINNACLE MEDICAL GROUP"
"14436","PINNACLE MEDICAL PC","PINNACLE MEDICAL PC"
"14437","PINNACLE THERAPY SLP OT PT PLLC","PINNACLE THERAPY SLP OT PT PLLC"
"14438","PINTAURO MEDICAL GROUP PC","PINTAURO MEDICAL GROUP PC"
"14439","PINTEA CARDIO-VASCULAR MEDICINE PC","PINTEA CARDIO-VASCULAR MEDICINE PC"
"14440","PIONEER DERMATOLOGY, LLC","PIONEER DERMATOLOGY, LLC"
"14441","PIONEER HOME CARE","PIONEER HOME CARE"
"14442","PIONEER HOMECARE INC.","PIONEER HOMECARE INC."
"14443","PIONEER REHAB PT PC","PIONEER REHAB PT PC"
"14444","PIONEERS STEPS REHAB PT PC","PIONEERS STEPS REHAB PT PC"
"14445","PITKIN CARE PHARMACY","PITKIN CARE PHARMACY"
"14446","PITKIN EXPRESS CARE PHARMACY INC","PITKIN EXPRESS CARE PHARMACY INC"
"14447","PITKIN MEDICAL DIAGNOSTICS P.C.","PITKIN MEDICAL DIAGNOSTICS P.C."
"14448","PITKIN PHARMACY & FOOD MART INC","PITKIN PHARMACY & FOOD MART INC"
"14449","PITMAN PLASTIC SURGERY, PC","PITMAN PLASTIC SURGERY, PC"
"14450","PIVOTAL PHYSICAL THERAPY, PLLC","PIVOTAL PHYSICAL THERAPY, PLLC"
"14451","PIXIE OT, INC.","PIXIE OT, INC."
"14452","PJP PHARMACY INC","PJP PHARMACY INC"
"14453","PK PHARMACY.INC","PK PHARMACY.INC"
"14454","PL MEDICAL PC","PL MEDICAL PC"
"14455","PL PHARMACY INC","PL PHARMACY INC"
"14456","PLACE FOR ACHIEVING TOTAL HEALTH","PLACE FOR ACHIEVING TOTAL HEALTH"
"14457","PLACIDO A MENEZES, PC","PLACIDO A MENEZES, PC"
"14458","PLANCHER ORTHOPAEDICS & SPORTS MEDICINE,PLLC","PLANCHER ORTHOPAEDICS & SPORTS MEDICINE,PLLC"
"14459","PLANCHER ORTHOPAEDICS II,PLLC","PLANCHER ORTHOPAEDICS II,PLLC"
"14460","PLANET PHARMACY LLC","PLANET PHARMACY LLC"
"14461","PLANETARIUM CONSULTING & PSYCHOTHERAPY SERVICES","PLANETARIUM CONSULTING & PSYCHOTHERAPY SERVICES"
"14462","PLANK MEDICAL PC","PLANK MEDICAL PC"
"14463","PLANNED PARENTHOOD OF NEW YORK CITY, INC","PLANNED PARENTHOOD OF NEW YORK CITY, INC"
"14464","PLANNED PARENTHOOD OF NYC","PLANNED PARENTHOOD OF NYC"
"14465","PLASTIC AND RECONSTRUCTIVE BREAST SURGERY PLLC","PLASTIC AND RECONSTRUCTIVE BREAST SURGERY PLLC"
"14466","PLASTIC SURGERY & DERMATOLOGY OF NYC","PLASTIC SURGERY & DERMATOLOGY OF NYC"
"14467","PLASTIC SURGERY AND SKINCARE, PLLC","PLASTIC SURGERY AND SKINCARE, PLLC"
"14468","PLATINUM DENTAL PC","PLATINUM DENTAL PC"
"14469","PLATINUM HOME HEALTH CARE INC. CDPAP","PLATINUM HOME HEALTH CARE INC. CDPAP"
"14470","PLATINUM HOME HEALTH CARE, INC.","PLATINUM HOME HEALTH CARE, INC."
"14471","PLATINUM OPTICAL, CORP","PLATINUM OPTICAL, CORP"
"14472","PLATINUM WELLNESS INC.","PLATINUM WELLNESS INC."
"14473","PLATINUM WELLNESS PHYSICAL THERAPY, P.C.","PLATINUM WELLNESS PHYSICAL THERAPY, P.C."
"14474","PLAYDATE LMSW SOCIAL WORK PLLC","PLAYDATE LMSW SOCIAL WORK PLLC"
"14475","PLAZA EAST INTERNAL MEDICINE PC","PLAZA EAST INTERNAL MEDICINE PC"
"14476","PLAZA ENDODONTIC GRP PC","PLAZA ENDODONTIC GRP PC"
"14477","PLAZA FOOT CARE P.C.","PLAZA FOOT CARE P.C."
"14478","PLAZA MANOR CARE AND REHAB LLC","PLAZA MANOR CARE AND REHAB LLC"
"14479","PLAZA MEDICAL, P.C.","PLAZA MEDICAL, P.C."
"14480","PLEASANT DENTISTRY P.C.","PLEASANT DENTISTRY P.C."
"14481","PLEASANT DREAMS DENTAL PC","PLEASANT DREAMS DENTAL PC"
"14482","PLUS ONE HEALTH MANAGEMENT, INC.","PLUS ONE HEALTH MANAGEMENT, INC."
"14483","PLVG PHYSICAL THERAPY PC","PLVG PHYSICAL THERAPY PC"
"14484","PM MEDICAL PC","PM MEDICAL PC"
"14485","PM PEDIATRICS","PM PEDIATRICS"
"14486","PMI, LLC","PMI, LLC"
"14487","PMM MEDICAL PC","PMM MEDICAL PC"
"14488","PMR MEDICAL AND DIAGNOSTIC,P.C.","PMR MEDICAL AND DIAGNOSTIC,P.C."
"14489","PNL DENTAL P.C.","PNL DENTAL P.C."
"14490","PODCARE","PODCARE"
"14491","PODIATRIC MEDICINE GROUP PC","PODIATRIC MEDICINE GROUP PC"
"14492","PODIATRIC OR OF MIDTOWN MANHATTAN, P.C.","PODIATRIC OR OF MIDTOWN MANHATTAN, P.C."
"14493","PODIATRY GROUP OF NYC","PODIATRY GROUP OF NYC"
"14494","PODIATRY OPTIONS P.C.","PODIATRY OPTIONS P.C."
"14495","POINT HEALTH CHIROPRACTIC PC","POINT HEALTH CHIROPRACTIC PC"
"14496","POINT PHARMACY,LLC.","POINT PHARMACY,LLC."
"14497","POLANCO DENTAL P.C.","POLANCO DENTAL P.C."
"14498","POLINA KIPNIS-TSEITLINA, D.D.S.","POLINA KIPNIS-TSEITLINA, D.D.S."
"14499","POLINA LISS MD PLLC","POLINA LISS MD PLLC"
"14500","POLKOR PHARMACY INC","POLKOR PHARMACY INC"
"14501","POLLACK & ASSOCIATES","POLLACK & ASSOCIATES"
"14502","POLLOCK BAILEY APOTHECARY LTD","POLLOCK BAILEY APOTHECARY LTD"
"14503","POLYMED COMMUNITY CARE,PC","POLYMED COMMUNITY CARE,PC"
"14504","POLYXENA MEDICAL CORPORATION PC","POLYXENA MEDICAL CORPORATION PC"
"14505","POMEGRANATE PSYCHOLOGICAL SERVICES","POMEGRANATE PSYCHOLOGICAL SERVICES"
"14506","POMERANTZ AND GLASS, MD'S, PLLC","POMERANTZ AND GLASS, MD'S, PLLC"
"14507","PONTERIO & PESSOLANO, MD, PC","PONTERIO & PESSOLANO, MD, PC"
"14508","POPE JOHN II PAVILLION","POPE JOHN II PAVILLION"
"14509","PORT AUTHORITY OF NEW YORK AND NEW JERSEY","PORT AUTHORITY OF NEW YORK AND NEW JERSEY"
"14510","PORT MORRIS HOME CARE AGENCY, LLC","PORT MORRIS HOME CARE AGENCY, LLC"
"14511","PORT REHAB MEDICAL P.C.","PORT REHAB MEDICAL P.C."
"14512","PORTABLE IMAGING SERVICES, LLC","PORTABLE IMAGING SERVICES, LLC"
"14513","PORTECK HEALTH NETWORKS","PORTECK HEALTH NETWORKS"
"14514","POSITIVE CARE PHARMACY INC","POSITIVE CARE PHARMACY INC"
"14515","POSITIVE HEALTH PRIMARY CARE","POSITIVE HEALTH PRIMARY CARE"
"14516","POSITIVE NINE EQUITIES","POSITIVE NINE EQUITIES"
"14517","POST GRADUATE CENTER","POST GRADUATE CENTER"
"14518","POST NEUROLOGICAL SURGERY PC","POST NEUROLOGICAL SURGERY PC"
"14519","POST-PREGNANCY WELLNESS LLC","POST-PREGNANCY WELLNESS LLC"
"14520","POTASH MANAGEMENT CORP.","POTASH MANAGEMENT CORP."
"14521","POURRAT MONAHEMI MD PC","POURRAT MONAHEMI MD PC"
"14522","POWERON CORP.","POWERON CORP."
"14523","PPC PHARMACY INC","PPC PHARMACY INC"
"14524","PPG ANESTHESIA, PLLC","PPG ANESTHESIA, PLLC"
"14525","PPSC","PPSC"
"14526","PRACTICE VALUATION ASSOCIATES,LLC","PRACTICE VALUATION ASSOCIATES,LLC"
"14527","PRADHAN AND PRADHAN","PRADHAN AND PRADHAN"
"14528","PRADIP R. SHETYE, DDS, PC","PRADIP R. SHETYE, DDS, PC"
"14529","PRAGMATICALLY SPEAKING","PRAGMATICALLY SPEAKING"
"14530","PRAISE EYE CARE OD PLLC","PRAISE EYE CARE OD PLLC"
"14531","PRAISE EYE CARE, OD PLLC","PRAISE EYE CARE, OD PLLC"
"14532","PRAISE THE LORD DENTAL,P.C.","PRAISE THE LORD DENTAL,P.C."
"14533","PRANAM HEALTHCARE LLC","PRANAM HEALTHCARE LLC"
"14534","PRANAYA PHARMACY INC","PRANAYA PHARMACY INC"
"14535","PRASANNA C WICKREMESINGHE MD PC","PRASANNA C WICKREMESINGHE MD PC"
"14536","PRATZ REHABILITATION CENTER","PRATZ REHABILITATION CENTER"
"14537","PRE-CARE SPEECH LANGUAGE PATHOLOGY PC.","PRE-CARE SPEECH LANGUAGE PATHOLOGY PC."
"14538","PRECIOUS BODY LLC","PRECIOUS BODY LLC"
"14539","PRECIOUS HEALTH MEDICAL P.C.","PRECIOUS HEALTH MEDICAL P.C."
"14540","PRECIOUS KEY HOME CARE","PRECIOUS KEY HOME CARE"
"14541","PRECIOUS KEY HOME CARE AGENCY","PRECIOUS KEY HOME CARE AGENCY"
"14542","PRECIOUS MOVEMENTS PHYSICAL THERAPY, P.C.","PRECIOUS MOVEMENTS PHYSICAL THERAPY, P.C."
"14543","PRECISE ACUPUNCTURE OF NY,P.C.","PRECISE ACUPUNCTURE OF NY,P.C."
"14544","PRECISE DIAGNOSTICS, INC.","PRECISE DIAGNOSTICS, INC."
"14545","PRECISE NP IN FAMILY HEALTH, P.C.","PRECISE NP IN FAMILY HEALTH, P.C."
"14546","PRECISE PHYSICAL THERAPY SOLUTIONS, P.C.","PRECISE PHYSICAL THERAPY SOLUTIONS, P.C."
"14547","PRECISE PODIATRY, PC","PRECISE PODIATRY, PC"
"14548","PRECISE SURGICAL PC","PRECISE SURGICAL PC"
"14549","PRECISION CARE ACUPUNCTURE PC","PRECISION CARE ACUPUNCTURE PC"
"14550","PRECISION CARE MEDICAL PC","PRECISION CARE MEDICAL PC"
"14551","PRECISION IMAGING OF NEW YORK","PRECISION IMAGING OF NEW YORK"
"14552","PRECISION ORTHOTICS & PROSTHETICS, INC","PRECISION ORTHOTICS & PROSTHETICS, INC"
"14553","PRECISION PHYSICIANS ASSISTANT","PRECISION PHYSICIANS ASSISTANT"
"14554","PRECISION RADIATION ONCOLOGY SERVICES, P.C.","PRECISION RADIATION ONCOLOGY SERVICES, P.C."
"14555","PRECISION RADIOLOGY BY JACOB LICHY M.D.P.C.","PRECISION RADIOLOGY BY JACOB LICHY M.D.P.C."
"14556","PREFERED MEDICAL & HOME CARE SUPPLY","PREFERED MEDICAL & HOME CARE SUPPLY"
"14557","PREFERRED CARE ALLIANCE, LLP","PREFERRED CARE ALLIANCE, LLP"
"14558","PREFERRED CARE AT OLD BRIDGE LLC","PREFERRED CARE AT OLD BRIDGE LLC"
"14559","PREFERRED CARE TRANSPORTATION SERVICE, INC.","PREFERRED CARE TRANSPORTATION SERVICE, INC."
"14560","PREFERRED HEALTH MEDICAL SUPPLY LLC","PREFERRED HEALTH MEDICAL SUPPLY LLC"
"14561","PREFERRED HEIGHTS INC","PREFERRED HEIGHTS INC"
"14562","PREFERRED MEDI SCRIPTS LLC","PREFERRED MEDI SCRIPTS LLC"
"14563","PREFERRED MEDICAL CARE NY, PC","PREFERRED MEDICAL CARE NY, PC"
"14564","PREFERRED PHYSICAL THERAPY OF NY, P.C","PREFERRED PHYSICAL THERAPY OF NY, P.C"
"14565","PREFERRED PROVIDER NETWORK","PREFERRED PROVIDER NETWORK"
"14566","PREHAB.COM,INC","PREHAB.COM,INC"
"14567","PREM K GUPTA MD PC","PREM K GUPTA MD PC"
"14568","PREM PHARMACY CORP.","PREM PHARMACY CORP."
"14569","PREMED PHARMACY INC","PREMED PHARMACY INC"
"14570","PREMIER FAMILY DENTISTRY PLLC","PREMIER FAMILY DENTISTRY PLLC"
"14571","PREMIER HEALTHCARE","PREMIER HEALTHCARE"
"14572","PREMIER HME HEALTH CARE","PREMIER HME HEALTH CARE"
"14573","PREMIER INTERNAL MEDICINE ASSOCIATES PC","PREMIER INTERNAL MEDICINE ASSOCIATES PC"
"14574","PREMIER MEDICAL ASSOCIATE PC","PREMIER MEDICAL ASSOCIATE PC"
"14575","PREMIER MEDICAL SUPPLIES INC.","PREMIER MEDICAL SUPPLIES INC."
"14576","PREMIER NEPHROLOGY SERVICES PC","PREMIER NEPHROLOGY SERVICES PC"
"14577","PREMIER NEUROMED SERVICES PC","PREMIER NEUROMED SERVICES PC"
"14578","PREMIER ORAL SURGERY, PLLC","PREMIER ORAL SURGERY, PLLC"
"14579","PREMIER ORTHOPEDICS & SPORTS MEDICINE","PREMIER ORTHOPEDICS & SPORTS MEDICINE"
"14580","PREMIER PEDIATRICS","PREMIER PEDIATRICS"
"14581","PREMIER PHYSICAL THERAPY AND WELLNESS OF KATONAH","PREMIER PHYSICAL THERAPY AND WELLNESS OF KATONAH"
"14582","PREMIER PHYSICAL THERAPY AND WELLNESS OF KATONAH, PC","PREMIER PHYSICAL THERAPY AND WELLNESS OF KATONAH, PC"
"14583","PREMIER PHYSICAL THERAPY AND WELLNESS OF KATOWAH, PC","PREMIER PHYSICAL THERAPY AND WELLNESS OF KATOWAH, PC"
"14584","PREMIER PHYSICAL THERAPY AND WELLNESS OF MIDTOWN PC","PREMIER PHYSICAL THERAPY AND WELLNESS OF MIDTOWN PC"
"14585","PREMIER PHYSICAL THERAPY OF DARIEN INC","PREMIER PHYSICAL THERAPY OF DARIEN INC"
"14586","PREMIER RENAL CARE, P.C.","PREMIER RENAL CARE, P.C."
"14587","PREMIER SPEECH AND LANGUAGE THERAPY, PC","PREMIER SPEECH AND LANGUAGE THERAPY, PC"
"14588","PREMIER SURGICAL PAVILION OF OXON HILL","PREMIER SURGICAL PAVILION OF OXON HILL"
"14589","PREMIER SURGICAL PAVILION, LLC","PREMIER SURGICAL PAVILION, LLC"
"14590","PREMIERE BRACE & LIMB INC","PREMIERE BRACE & LIMB INC"
"14591","PREMIERE PHYSICAL THERAPY, PC","PREMIERE PHYSICAL THERAPY, PC"
"14592","PREMIUM BRONX CORP","PREMIUM BRONX CORP"
"14593","PREMIUM DIAGNOSTIC IMAGING PC","PREMIUM DIAGNOSTIC IMAGING PC"
"14594","PREMIUM LASER OPHTHALMOLOGY LLC","PREMIUM LASER OPHTHALMOLOGY LLC"
"14595","PREMIUM THERAPY SPEECH SERVICES P.C.","PREMIUM THERAPY SPEECH SERVICES P.C."
"14596","PRENDAMANO SPEECH THERAPY","PRENDAMANO SPEECH THERAPY"
"14597","PREOPERATIVE MEDICAL CONSULTANTS, P.C.","PREOPERATIVE MEDICAL CONSULTANTS, P.C."
"14598","PREPETIT MEDICAL, PC","PREPETIT MEDICAL, PC"
"14599","PRESCRIPTION CTR OF ST NY","PRESCRIPTION CTR OF ST NY"
"14600","PRESENT CHAPMAN MARION & STEINLAUF MD PC","PRESENT CHAPMAN MARION & STEINLAUF MD PC"
"14601","PRESICION MEDICAL DIAGNOSTICS OF NY, PC","PRESICION MEDICAL DIAGNOSTICS OF NY, PC"
"14602","PRESSWOMAN INC.","PRESSWOMAN INC."
"14603","PRESTIGE CARE PHARMACY INC","PRESTIGE CARE PHARMACY INC"
"14604","PRESTIGE CARE, INC.","PRESTIGE CARE, INC."
"14605","PRESTIGE FIFTH AVENUE DENTAL P C","PRESTIGE FIFTH AVENUE DENTAL P C"
"14606","PRESTIGE HOME ATTENDANT INC","PRESTIGE HOME ATTENDANT INC"
"14607","PRESTIGE MEDICAL SUPPLY INC","PRESTIGE MEDICAL SUPPLY INC"
"14608","PRESTIGE REHABILITATION & OT PC","PRESTIGE REHABILITATION & OT PC"
"14609","PRESTIGE RX LLC","PRESTIGE RX LLC"
"14610","PRESTON CENTER OF COMPASSION","PRESTON CENTER OF COMPASSION"
"14611","PRETTY HANDSOME OPTOMETRY, PLLC","PRETTY HANDSOME OPTOMETRY, PLLC"
"14612","PRETTY PADDED ROOM","PRETTY PADDED ROOM"
"14613","PREVENTIVE IDTF INC.","PREVENTIVE IDTF INC."
"14614","PRIA ALPERN PHD PSYCHOLOGIST PLLC","PRIA ALPERN PHD PSYCHOLOGIST PLLC"
"14615","PRIDE MEDICAL, PLLC","PRIDE MEDICAL, PLLC"
"14616","PRIDE OPTICAL","PRIDE OPTICAL"
"14617","PRIMACARE MEDICAL ASSOCIATES PLLC","PRIMACARE MEDICAL ASSOCIATES PLLC"
"14618","PRIMARY AUDIOLOGICAL SERVICES P.C.","PRIMARY AUDIOLOGICAL SERVICES P.C."
"14619","PRIMARY CARDIOLOGY PC","PRIMARY CARDIOLOGY PC"
"14620","PRIMARY CARE AMBULANCE CORP","PRIMARY CARE AMBULANCE CORP"
"14621","PRIMARY CARE HEALTH SERVICE","PRIMARY CARE HEALTH SERVICE"
"14622","PRIMARY CARE NP IN FAMILY HEALTH AND ADULT HEALTH OF NEW YORK PLLC","PRIMARY CARE NP IN FAMILY HEALTH AND ADULT HEALTH OF NEW YORK PLLC"
"14623","PRIMARY DIAGNOSTIC IMAGING PC","PRIMARY DIAGNOSTIC IMAGING PC"
"14624","PRIMARY EYE CARE OPTOMETRY, LLP","PRIMARY EYE CARE OPTOMETRY, LLP"
"14625","PRIMARY GLASSES","PRIMARY GLASSES"
"14626","PRIMARY STEPS PHYSICAL THERAPY LLC","PRIMARY STEPS PHYSICAL THERAPY LLC"
"14627","PRIMAX MEDICAL PC","PRIMAX MEDICAL PC"
"14628","PRIME AID PHARMACY CORP.","PRIME AID PHARMACY CORP."
"14629","PRIME CARE DRUG & SURGICALS CORP","PRIME CARE DRUG & SURGICALS CORP"
"14630","PRIME CARE MEDICAL OF BRIGHTON PC","PRIME CARE MEDICAL OF BRIGHTON PC"
"14631","PRIME CARE ON THE BAY LLC","PRIME CARE ON THE BAY LLC"
"14632","PRIME CARE, INC.","PRIME CARE, INC."
"14633","PRIME DENTAL CARE PC","PRIME DENTAL CARE PC"
"14634","PRIME ESSENTIALS LLC","PRIME ESSENTIALS LLC"
"14635","PRIME FITNESS PHYSICAL THERAPY PC","PRIME FITNESS PHYSICAL THERAPY PC"
"14636","PRIME HEALTH PHARMACY LLC","PRIME HEALTH PHARMACY LLC"
"14637","PRIME HEALTH PHYSICAL THERAPY AND REHABILITATION P. C.","PRIME HEALTH PHYSICAL THERAPY AND REHABILITATION P. C."
"14638","PRIME INDEPENDENCE CARE INC","PRIME INDEPENDENCE CARE INC"
"14639","PRIME LCSW SERVICES PC","PRIME LCSW SERVICES PC"
"14640","PRIME MEDCARE","PRIME MEDCARE"
"14641","PRIME MEDICAL SERVICES PC","PRIME MEDICAL SERVICES PC"
"14642","PRIME MEDICAL SUPPLY","PRIME MEDICAL SUPPLY"
"14643","PRIME MEDICAL SUPPLY CORP","PRIME MEDICAL SUPPLY CORP"
"14644","PRIME MOVERS PHYSICAL THERAPY, PLLC","PRIME MOVERS PHYSICAL THERAPY, PLLC"
"14645","PRIME PHYSIQUE PHYSICAL THERAPY","PRIME PHYSIQUE PHYSICAL THERAPY"
"14646","PRIME PSI INC","PRIME PSI INC"
"14647","PRIME QUALITY MEDICAL CARE PC","PRIME QUALITY MEDICAL CARE PC"
"14648","PRIME REHAB PT, PLLC","PRIME REHAB PT, PLLC"
"14649","PRIME SURGICAL SUPPLY INC","PRIME SURGICAL SUPPLY INC"
"14650","PRIMECARE MEDICAL SERVICE PC","PRIMECARE MEDICAL SERVICE PC"
"14651","PRIMITIS MOBILE EXAMINERS","PRIMITIS MOBILE EXAMINERS"
"14652","PRINCE BAY PHARMACY","PRINCE BAY PHARMACY"
"14653","PRINCE REHAB CARE PT PC","PRINCE REHAB CARE PT PC"
"14654","PRIORITY MEDICAL CARE","PRIORITY MEDICAL CARE"
"14655","PRIORITY MEDICAL SUPPLY, INCORPORATED","PRIORITY MEDICAL SUPPLY, INCORPORATED"
"14656","PRIORITY ONE AMBULANCE INC.","PRIORITY ONE AMBULANCE INC."
"14657","PRIORITY PRIVATE MEDICAL CARE, PC","PRIORITY PRIVATE MEDICAL CARE, PC"
"14658","PRISCILLAS ANGELS NURSING AGENCY LLC","PRISCILLAS ANGELS NURSING AGENCY LLC"
"14659","PRISCO CHIROPRACTIC AND WELLNESS","PRISCO CHIROPRACTIC AND WELLNESS"
"14660","PRISM DENTAL PC","PRISM DENTAL PC"
"14661","PRISTINE MEDICAL CARE PLLC","PRISTINE MEDICAL CARE PLLC"
"14662","PRITPAL S KANG P C","PRITPAL S KANG P C"
"14663","PRIVATE ESCORT SERVICE INC.","PRIVATE ESCORT SERVICE INC."
"14664","PRN PC","PRN PC"
"14665","PRN PROFESSIONAL REGISTERED NURSING P.C.","PRN PROFESSIONAL REGISTERED NURSING P.C."
"14666","PRO LIFE APOTHECARY CORP","PRO LIFE APOTHECARY CORP"
"14667","PRO RX INC","PRO RX INC"
"14668","PRO ULTRASOUND SERVICE","PRO ULTRASOUND SERVICE"
"14669","PRO WELLNESS PHYSICAL THERAPY P.C.","PRO WELLNESS PHYSICAL THERAPY P.C."
"14670","PRO-HEALTH MEDICAL REHAB","PRO-HEALTH MEDICAL REHAB"
"14671","PRO-MEDICAL NEW YORK PLLC","PRO-MEDICAL NEW YORK PLLC"
"14672","PROACTIVE OCCUPATIONAL THERAPY PC","PROACTIVE OCCUPATIONAL THERAPY PC"
"14673","PROACTIVE OT/PT THERAPY PLLC","PROACTIVE OT/PT THERAPY PLLC"
"14674","PROCARE CLINICAL SERVICE","PROCARE CLINICAL SERVICE"
"14675","PROCARE WELLNESS CENTER LLC","PROCARE WELLNESS CENTER LLC"
"14676","PRODIGY OF NEW YORK, INC.","PRODIGY OF NEW YORK, INC."
"14677","PRODUCTIVITY ENHANCEMENT MINISTRIES, INC.","PRODUCTIVITY ENHANCEMENT MINISTRIES, INC."
"14678","PROFESSIONAL CAR SERVICE","PROFESSIONAL CAR SERVICE"
"14679","PROFESSIONAL CARE PHYSICAL THERAPY PC","PROFESSIONAL CARE PHYSICAL THERAPY PC"
"14680","PROFESSIONAL CLINICAL LABORATORIES","PROFESSIONAL CLINICAL LABORATORIES"
"14681","PROFESSIONAL COUNSELING SERVICES LCSW PLLC","PROFESSIONAL COUNSELING SERVICES LCSW PLLC"
"14682","PROFESSIONAL DENTAL OFFICE PC","PROFESSIONAL DENTAL OFFICE PC"
"14683","PROFESSIONAL DENTAL OFFICE PC.","PROFESSIONAL DENTAL OFFICE PC."
"14684","PROFESSIONAL DENTAL SERVICE","PROFESSIONAL DENTAL SERVICE"
"14685","PROFESSIONAL EDUCATIONAL CONSULTING BY REBECCA LLC","PROFESSIONAL EDUCATIONAL CONSULTING BY REBECCA LLC"
"14686","PROFESSIONAL GYNECOLOGICAL SERVICES, PC","PROFESSIONAL GYNECOLOGICAL SERVICES, PC"
"14687","PROFESSIONAL HEALTH IMAGING,P.C.","PROFESSIONAL HEALTH IMAGING,P.C."
"14688","PROFESSIONAL MEDICAL ARTS, P.C.","PROFESSIONAL MEDICAL ARTS, P.C."
"14689","PROFESSIONAL MEDICAL HEALTH CARE SERVICES PC","PROFESSIONAL MEDICAL HEALTH CARE SERVICES PC"
"14690","PROFESSIONAL MEDICAL HEALTHCARE P.C.","PROFESSIONAL MEDICAL HEALTHCARE P.C."
"14691","PROFESSIONAL MEDICAL HEALTHCARE SERVICE OF NEW YORK","PROFESSIONAL MEDICAL HEALTHCARE SERVICE OF NEW YORK"
"14692","PROFESSIONAL MEDICAL HEALTHCARE SERVICE OF NEW YORK, PC","PROFESSIONAL MEDICAL HEALTHCARE SERVICE OF NEW YORK, PC"
"14693","PROFESSIONAL MEDICAL HEALTHCARE SERVICES OF NEW YORK","PROFESSIONAL MEDICAL HEALTHCARE SERVICES OF NEW YORK"
"14694","PROFESSIONAL ORTHOPEDIC & SPORTS PT","PROFESSIONAL ORTHOPEDIC & SPORTS PT"
"14695","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY","PROFESSIONAL ORTHOPEDIC AND SPORTS PHYSICAL THERAPY"
"14696","PROFESSIONAL PHYSICAL THERAPY P.C.","PROFESSIONAL PHYSICAL THERAPY P.C."
"14697","PROFESSIONAL RADIOLOGY SERVICES, P.C.","PROFESSIONAL RADIOLOGY SERVICES, P.C."
"14698","PROFESSIONAL REHAB PHYSICAL THERAPY P.C.","PROFESSIONAL REHAB PHYSICAL THERAPY P.C."
"14699","PROFESSIONAL TOUCH PHYSICAL THERAPY PC","PROFESSIONAL TOUCH PHYSICAL THERAPY PC"
"14700","PROFFESIONAL ANESTHESIA PHYSICIAN, P.C.","PROFFESIONAL ANESTHESIA PHYSICIAN, P.C."
"14701","PROFFESSIONAL HEALTHCARE& CHIROPRACTIC SERVICES PC","PROFFESSIONAL HEALTHCARE& CHIROPRACTIC SERVICES PC"
"14702","PROFITNESS PHYSICAL THERAPY","PROFITNESS PHYSICAL THERAPY"
"14703","PROFITNESS PHYSICAL THERAPY PC","PROFITNESS PHYSICAL THERAPY PC"
"14704","PROGRESSIVE APPLIED BEHAVIORAL TREATMENT","PROGRESSIVE APPLIED BEHAVIORAL TREATMENT"
"14705","PROGRESSIVE COMMUNITY ADULT DAY CARE SERVICES, INC.","PROGRESSIVE COMMUNITY ADULT DAY CARE SERVICES, INC."
"14706","PROGRESSIVE DIAGNOSTIC MEDICAL,PC","PROGRESSIVE DIAGNOSTIC MEDICAL,PC"
"14707","PROGRESSIVE DYNAMIC DESIGNS, INC.","PROGRESSIVE DYNAMIC DESIGNS, INC."
"14708","PROGRESSIVE FOOT CARE ASSOCIATES","PROGRESSIVE FOOT CARE ASSOCIATES"
"14709","PROGRESSIVE FOOT CARE, PC","PROGRESSIVE FOOT CARE, PC"
"14710","PROGRESSIVE GASTROENTEROLOGY LLC","PROGRESSIVE GASTROENTEROLOGY LLC"
"14711","PROGRESSIVE HEMATOLOGY AND ONCOLOGY PLLC","PROGRESSIVE HEMATOLOGY AND ONCOLOGY PLLC"
"14712","PROGRESSIVE HOME HEALTH SERVICES, INC.","PROGRESSIVE HOME HEALTH SERVICES, INC."
"14713","PROGRESSIVE MEDICAL ASSOCIATES","PROGRESSIVE MEDICAL ASSOCIATES"
"14714","PROGRESSIVE MEDICAL ASSOCIATES, P.C","PROGRESSIVE MEDICAL ASSOCIATES, P.C"
"14715","PROGRESSIVE MEDICAL SOLUTIONS PC","PROGRESSIVE MEDICAL SOLUTIONS PC"
"14716","PROGRESSIVE MOVEMENT PHYSICAL THERAPY AND SPORTS REHAB PLLC","PROGRESSIVE MOVEMENT PHYSICAL THERAPY AND SPORTS REHAB PLLC"
"14717","PROGRESSIVE OCCUPATIONAL THERAPY PC","PROGRESSIVE OCCUPATIONAL THERAPY PC"
"14718","PROGRESSIVE ORTHOPEDIC PLLC","PROGRESSIVE ORTHOPEDIC PLLC"
"14719","PROGRESSIVE PODIATRY AND FOOT SURGERY","PROGRESSIVE PODIATRY AND FOOT SURGERY"
"14720","PROGRESSIVE THERAPEUTICS OT, SLP, PT, PLLC","PROGRESSIVE THERAPEUTICS OT, SLP, PT, PLLC"
"14721","PROHEALTH & FITNESS PT PC","PROHEALTH & FITNESS PT PC"
"14722","PROHEALTH & FITNESS, PT PC","PROHEALTH & FITNESS, PT PC"
"14723","PROHEALTH HOMECARE, INC.","PROHEALTH HOMECARE, INC."
"14724","PROHEALTH PHARMACY INC","PROHEALTH PHARMACY INC"
"14725","PROHEALTHLIFE MEDICAL PLLC","PROHEALTHLIFE MEDICAL PLLC"
"14726","PROJECT HOSPITALITY, INC.","PROJECT HOSPITALITY, INC."
"14727","PROJECT OHR, INC.","PROJECT OHR, INC."
